Type,TimeStamp,Latitude,Longitude,HAccuracy,Speed,Course
0,2017-09-22 15:24:04 +0000,37.396193,-121.905981,65,-1,-1
0,2017-09-22 15:24:14 +0000,37.396317,-121.905574,65,-1,-1
0,2017-09-22 15:24:27 +0000,37.396261,-121.905895,65,-1,-1
0,2017-09-22 15:24:46 +0000,37.396361,-121.905396,65,-1,-1
0,2017-09-22 15:25:01 +0000,37.396336,-121.905703,65,-1,-1
0,2017-09-22 15:25:18 +0000,37.39631,-121.90544,50,0,-1
0,2017-09-22 15:26:04 +0000,37.396391,-121.905376,50,0,-1
0,2017-09-22 15:26:43 +0000,37.396548,-121.904835,65,-1,-1
0,2017-09-22 15:27:05 +0000,37.396432,-121.905344,200,0.000092,-1
0,2017-09-22 16:05:37 +0000,37.396372,-121.904452,165,-1,-1
0,2017-09-22 16:05:59 +0000,37.396432,-121.904821,65,-1,-1
0,2017-09-22 16:06:13 +0000,37.396592,-121.90484,65,-1,-1
0,2017-09-22 16:06:48 +0000,37.396701,-121.904942,200,0,-1
0,2017-09-22 16:06:59 +0000,37.396618,-121.904781,100.000017,-1,-1
0,2017-09-22 16:07:19 +0000,37.396689,-121.904947,200,0.000001,-1
0,2017-09-22 16:07:49 +0000,37.396755,-121.905042,200,0.000001,-1
0,2017-09-22 16:07:57 +0000,37.396694,-121.904952,65,-1,-1
0,2017-09-22 16:08:27 +0000,37.396532,-121.904675,65,-1,-1
0,2017-09-22 16:40:06 +0000,37.396478,-121.904568,65,-1,-1
0,2017-09-22 16:40:23 +0000,37.39684,-121.905045,50,0,-1
0,2017-09-22 16:41:16 +0000,37.396672,-121.90489,65,-1,-1
0,2017-09-22 16:42:09 +0000,37.39682,-121.905027,200,0.000093,-1
0,2017-09-22 16:42:17 +0000,37.396665,-121.904882,65,-1,-1
0,2017-09-22 19:43:26 +0000,37.39672,-121.904748,10,0,-1
0,2017-09-22 19:43:37 +0000,37.396815,-121.90477,10,0,189.492188
0,2017-09-22 19:46:56 +0000,37.396859,-121.905136,30,0.47,41.484375
0,2017-09-22 19:48:09 +0000,37.396857,-121.904969,5,0,240.46875
0,2017-09-22 19:48:51 +0000,37.396786,-121.904856,10,1.17,100.195312
0,2017-09-22 20:04:09 +0000,37.396478,-121.903518,5,6.23,79.42424
4,2017-09-22 20:04:09 +0000,37.396847,-121.905309,5,-1,-1
0,2017-09-22 20:04:13 +0000,37.396503,-121.903384,5,3.63,76.390862
